Province/State;Country/Region;Lat;Long;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;2/1/20;2/2/20;2/3/20;2/4/20;2/5/20;2/6/20;2/7/20;2/8/20;2/9/20;2/10/20;2/11/20;2/12/20;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;3/1/20;3/2/20;3/3/20;3/4/20;3/5/20;3/6/20;3/7/20;3/8/20;3/9/20;3/10/20;3/11/20;3/12/20;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;3/19/20
;Thailand;15;101;2;3;5;7;8;8;14;14;14;19;19;19;19;25;25;25;25;32;32;32;33;33;33;33;33;34;35;35;35;35;35;35;35;35;37;40;40;41;42;42;43;43;43;47;48;50;50;50;53;59;70;75;82;114;147;177;212;272
;Japan;36;138;2;1;2;2;4;4;7;7;11;15;20;20;20;22;22;45;25;25;26;26;26;28;28;29;43;59;66;74;84;94;105;122;147;159;170;189;214;228;241;256;274;293;331;360;420;461;502;511;581;639;639;701;773;839;825;878;889;924
;Singapore;12833;1038333;0;1;3;3;4;5;7;7;10;13;16;18;18;24;28;28;30;33;40;45;47;50;58;67;72;75;77;81;84;84;85;85;89;89;91;93;93;93;102;106;108;110;110;117;130;138;150;150;160;178;178;200;212;226;243;266;313;345
;Nepal;281667;8425;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;Malaysia;25;1125;0;0;0;3;4;4;4;7;8;8;8;8;8;10;12;12;12;16;16;18;18;18;19;19;22;22;22;22;22;22;22;22;22;22;22;22;23;23;25;29;29;36;50;50;83;93;99;117;129;149;149;197;238;428;566;673;790;900
British Columbia;Canada;492827;-1231207;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;9;12;13;21;21;27;32;32;39;46;64;64;73;103;103;186;231
New South Wales;Australia;-338688;1512093;0;0;0;0;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;13;22;22;26;28;38;48;55;65;65;92;112;134;171;210;267;307
Victoria;Australia;-378136;1449631;0;0;0;0;1;1;1;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;9;9;10;10;10;11;11;15;18;21;21;36;49;57;71;94;121;121
Queensland;Australia;-280167;1534;0;0;0;0;0;0;0;1;3;2;3;2;2;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;9;9;9;11;11;13;13;13;15;15;18;20;20;35;46;61;68;78;94;144
;Cambodia;1155;1049167;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;7;7;7;33;35;37
;Sri Lanka;7;81;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;6;10;18;28;44;51;60
;Germany;51;9;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1040;1176;1457;1908;2078;3675;4585;5795;7272;9257;12327;15320
;Finland;64;26;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;6;6;6;12;15;15;23;30;40;59;59;155;225;244;277;321;336;400
;United Arab Emirates;24;54;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;8;8;9;9;9;9;9;9;13;13;13;13;13;13;19;21;21;21;27;27;29;29;45;45;45;74;74;85;85;85;98;98;98;113;140
;Philippines;13;122;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;6;10;20;33;49;52;64;111;140;142;187;202;217
;India;21;78;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;28;30;31;34;39;43;56;62;73;82;102;113;119;142;156;194
;Italy;43;12;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;20;62;155;229;322;453;655;888;1128;1694;2036;2502;3089;3858;4636;5883;7375;9172;10149;12462;12462;17660;21157;24747;27980;31506;35713;41035
;Sweden;63;16;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;7;7;12;14;15;21;35;94;101;161;203;248;355;500;599;814;961;1022;1103;1190;1279;1439
;Spain;40;-4;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;13;15;32;45;84;120;165;222;259;400;500;673;1073;1695;2277;2277;5232;6391;7798;9942;11748;13910;17963
South Australia;Australia;-349285;1386007;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;7;7;7;7;7;9;9;16;19;20;29;29;37;42
;Belgium;508333;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;314;559;689;886;1058;1243;1486;1795
;Egypt;26;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;15;15;49;55;59;60;67;80;109;110;150;196;196;256
From Diamond Princess;Australia;354437;139638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;7;7;7;7;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Lebanon;338547;358623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;10;13;13;13;16;22;22;32;32;41;61;61;77;93;110;99;120;133;157
;Iraq;33;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7;13;19;26;32;35;35;40;54;60;60;71;71;71;101;110;116;124;154;164;192
;Oman;21;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;4;6;6;6;12;15;16;16;16;16;16;18;18;18;19;19;22;22;24;39;48
;Afghanistan;33;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;5;7;7;7;11;16;21;22;22;22
;Bahrain;260275;5055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;33;33;36;41;47;49;49;52;55;60;85;85;95;110;195;195;189;210;214;214;228;256;278
;Kuwait;295;4775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;26;43;45;45;45;56;56;56;58;58;61;64;64;69;72;80;80;104;112;123;130;142;148
;Algeria;280339;16596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;12;17;17;19;20;20;20;24;26;37;48;54;60;74;87
;Croatia;451;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;5;6;7;7;9;10;10;11;12;12;12;14;19;19;32;38;49;57;65;81;105
;Switzerland;468182;82275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;18;27;42;56;90;114;214;268;337;374;491;652;652;1139;1359;2200;2200;2700;3028;4075
;Austria;475162;145501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302;504;655;860;1018;1332;1646;2013
;Israel;31;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;3;4;7;10;10;12;15;20;37;43;61;61;83;109;131;161;193;251;255;337;433;677
;Pakistan;303753;693451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;4;5;5;5;6;6;6;6;16;19;20;28;31;53;136;236;299;454
;Brazil;-14235;-519253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;4;4;13;13;20;25;31;38;52;151;151;162;200;321;372;621
;Georgia;423154;433569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;3;3;4;4;4;13;15;15;24;24;25;30;33;33;34;38;40
;Greece;390742;218243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;4;7;7;7;9;31;45;46;73;73;89;99;99;190;228;331;331;387;418;418
;North Macedonia;416086;217453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;3;3;3;7;7;7;14;14;14;18;26;35;48
;Norway;60472;84689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;15;19;25;32;56;87;108;147;176;205;400;598;702;996;1090;1221;1333;1463;1550;1746
;Romania;459432;249668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;4;6;9;9;15;15;25;45;49;89;123;131;158;184;260;277
;Estonia;585953;250136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;3;10;10;10;10;12;16;16;79;115;171;205;225;258;267
;San Marino;439424;124578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;8;10;16;21;21;23;36;36;51;62;69;80;80;101;109;109;119;119
;Belarus;537098;279534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;6;6;6;6;6;6;9;9;12;27;27;27;36;36;51;51
;Iceland;649631;-190208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;6;11;26;34;43;50;50;58;69;85;103;134;156;171;180;220;250;330
;Lithuania;551694;238813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;3;6;8;12;17;25;27;36
;Mexico;236345;-1025528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;6;6;7;7;7;8;12;12;26;41;53;82;93;118
;New Zealand;-409006;174886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;4;5;5;5;5;5;5;5;6;8;8;12;20;28
;Nigeria;9082;86753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;8;8
Western Australia;Australia;-319505;1158605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;4;6;9;9;14;17;17;28;31;35;52
;Ireland;531424;-76921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;6;6;18;18;19;21;34;43;43;90;129;129;169;223;292;557
;Luxembourg;498153;61296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;3;3;5;7;19;34;51;59;77;140;203;335
;Monaco;437333;74167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;7;7;7;7
;Qatar;253548;511839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;7;8;8;8;8;15;18;24;262;262;320;337;401;439;439;452;460
;Ecuador;-18312;-781834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;7;10;13;13;13;14;15;15;17;17;17;28;28;37;58;111;199
;Azerbaijan;401431;475769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;6;9;9;9;11;11;11;15;15;23;15;28;28;44
;Armenia;400691;450382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;4;8;18;26;52;78;84;115
;Dominican Republic;187357;-701627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;5;5;5;5;5;5;11;11;11;21;21;34
;Indonesia;-7893;1139213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4;6;19;27;34;34;69;96;117;134;172;227;311
;Portugal;393999;-82245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;8;13;20;30;30;41;59;59;112;169;245;331;448;448;785
;Andorra;425063;15218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;39;39;53
Tasmania;Australia;-414545;1459707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;3;3;5;5;6;7;7;10;10
;Latvia;568796;246032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;6;8;10;10;17;26;30;34;49;71;86
;Morocco;317917;-70926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;3;5;6;7;17;28;29;38;49;63
;Saudi Arabia;24;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;5;5;11;15;20;21;45;86;103;103;118;171;171;274
;Senegal;144974;-144524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;4;4;4;4;4;4;4;10;10;24;24;26;31;31
;Argentina;-384161;-636167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;12;12;17;19;19;31;34;45;56;68;79;97
;Chile;-356751;-71543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;4;8;8;13;23;23;43;61;74;155;201;238;238
;Jordan;3124;3651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;8;17;34;52;69
;Ukraine;483794;311656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;3;7;14;14;16
;Hungary;471625;195033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;7;9;9;13;13;19;30;32;39;50;58;73
Northern Territory;Australia;-124634;1308456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
;Liechtenstein;4714;955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;4;4;4;7;28;28
;Poland;519194;191451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;5;11;16;22;31;49;68;103;119;177;238;251;355
;Tunisia;34;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;5;7;7;16;18;18;20;24;29;39
;Bosnia and Herzegovina;439159;176791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;3;5;7;11;13;18;24;25;26;38;63
;Slovenia;461512;149955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;7;16;16;31;57;89;141;181;219;253;275;275;286
;South Africa;-305595;229375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;13;17;24;38;51;62;62;116;150
;Bhutan;275142;904336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;Cameroon;3848;115021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;4;10;10;13
;Colombia;45709;-742973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;9;9;13;22;34;54;65;93;102
;Costa Rica;97489;-837534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;9;9;13;22;23;26;27;35;41;50;69
;Peru;-919;-750152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;11;15;28;38;43;86;117;145;234
;Serbia;440165;210059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;5;12;19;35;46;48;55;65;83;103
;Slovakia;48669;19699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;7;10;16;32;44;54;63;72;105;123
;Togo;86195;8248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;Malta;359375;143754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;6;12;18;21;30;38;38;53
;Martinique;146415;-610242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;3;3;9;9;15;16;19;23
;Bulgaria;427339;254858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;7;7;23;41;51;52;67;92;94
;Maldives;32028;732207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;8;8;9;10;13;13;13;13;13
;Bangladesh;23685;903563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;5;8;10;14;17
